IndustryCode,DataYear,Gamma
20,1963,0.02319069128651704
2011,1963,0.03335555071684481
2013,1963,0.010620698527273481
2015,1963,0.03893771828735248
2021,1963,0.12986687542093023
2022,1963,0.15826146939077387
2023,1963,0.053172212180876414
2024,1963,0.0003858554537128745
2026,1963,0.002641253381844948
2031,1963,0.08255691010824459
2032,1963,0.008592936049773807
2033,1963,0.03668212888732829
2034,1963,0.39302131007236635
2035,1963,0.007866247298286128
2036,1963,0.06371608654943824
2037,1963,0.028173043146898082
2041,1963,0.02129346583863555
2042,1963,0.0144333557265428
2043,1963,0.21240754051085634
2044,1963,0.1610713488489382
2045,1963,-0.011973016715479368
2046,1963,-0.21204195429863035
2051,1963,-0.000057280913639112405
2052,1963,0.005658943439903372
2061,1963,0.4069800225697248
2062,1963,0.19320154089738414
2063,1963,0.04030585993080597
2071,1963,0.027381163211067674
2072,1963,0.21345085054799395
2073,1963,0.16084181467682346
2082,1963,0.0103589506947472
2083,1963,0.15037091538882852
2084,1963,0.34091475186643366
2085,1963,0.11862823256440831
2086,1963,0.0056410555712565905
2087,1963,0.02035537512746067
2091,1963,0.10902562975787965
2092,1963,0.10587331396943524
2093,1963,-0.007702766859828283
2094,1963,-0.00007444100900072547
2095,1963,0.023932664878920713
2096,1963,0.021725542762541475
2097,1963,0.019573760048820756
2098,1963,0.00202481119358012
2099,1963,0.0012086921120136632
20,1967,0.0025818130718098346
2011,1967,0.03325574132802443
2013,1967,0.005923571964793673
2015,1967,0.042869777235460246
2021,1967,0.1274905846819325
2022,1967,0.14957428110098317
2023,1967,0.038492212215556335
2024,1967,-0.0004823394310252027
2026,1967,0.003445029974207936
2031,1967,0.07686025930420544
2032,1967,-0.029087264338555737
2033,1967,0.037378711561609546
2034,1967,0.21609479039606758
2035,1967,0.007546502291820176
2036,1967,0.05109668876247033
2037,1967,0.015982942082723193
2041,1967,0.0156732264841535
2042,1967,0.016733937696553167
2043,1967,-0.054861179613144496
2044,1967,0.15978600895463796
2045,1967,-0.0025726980212170793
2046,1967,-0.002068683555093366
2051,1967,0.0002925171323457131
2052,1967,0.010452662333536446
2061,1967,0.3875367265533056
2062,1967,0.00037779497517751094
2063,1967,0.03302570463526999
2071,1967,0.030315282070416318
2072,1967,0.21690418555592644
2073,1967,0.4148409694453207
2082,1967,0.011216953691067382
2083,1967,0.14258796697249335
2084,1967,0.2780786552018009
2085,1967,0.12094093000306408
2086,1967,0.0049016749076901825
2087,1967,0.019005917371862625
2091,1967,0.1303564220482374
2092,1967,0.08908626658797392
2093,1967,-0.02522621233061806
2094,1967,0.0029099220934906424
2095,1967,0.029536897029003684
2096,1967,0.025973151701499934
2097,1967,0.016022978246059614
2098,1967,-0.010508706330010272
2099,1967,0.003499781415128605
20,1972,0.0029106907234041934
2011,1972,0.037139252609657156
2013,1972,0.006850106400324448
2016,1972,0.051669711448450575
2017,1972,0.0253967489735843
2021,1972,0.0810152767604706
2022,1972,0.13170694828455465
2023,1972,0.032844551504820366
2024,1972,0.0020994650309286143
2026,1972,0.0037197457823795474
2032,1972,-0.004874597681085299
2033,1972,0.04567822797380529
2034,1972,0.15202008802696032
2035,1972,0.0033259059188679276
2037,1972,0.038964748754787795
2038,1972,-0.002096233330962227
2041,1972,0.018975597666175136
2043,1972,-0.05488320402454044
2044,1972,0.14609730061045298
2045,1972,0.00503202169617155
2046,1972,-0.0029235860178551754
2047,1972,0.01023894417853805
2048,1972,0.02032158585718368
2051,1972,-0.0006645489663252894
2052,1972,0.01841509072585696
2061,1972,0.26693227874614045
2062,1972,0.0009520629554248174
2063,1972,0.024862568296553752
2065,1972,0.03549570461535683
2066,1972,0.28488709405430984
2067,1972,-0.16372869230310375
2074,1972,0.0959599644190888
2075,1972,0.018651739599132747
2076,1972,-0.02382203850385889
2077,1972,0.003170391587114232
2079,1972,0.009520556968014736
2082,1972,-0.011278682645947743
2083,1972,0.05440608811537699
2084,1972,0.3413351232081805
2085,1972,0.014385083443158099
2086,1972,0.004160651006877016
2087,1972,0.0331082672111149
2091,1972,0.0865537959625243
2092,1972,0.046143557664928635
2095,1972,0.05917669762478111
2097,1972,0.016349877356246035
2098,1972,-0.010079856718523893
2099,1972,0.0011520416302639093
20,1977,0.0027161957963735637
2011,1977,0.0311130416970249
2013,1977,0.0037747125114734456
2016,1977,0.04798855389490274
2017,1977,0.03910518958302255
2021,1977,0.07813917528148014
2022,1977,0.14473168993101962
2023,1977,0.04396703882644681
2024,1977,0.0012044248257967682
2026,1977,0.0006711855357249304
2032,1977,-0.017291222616749886
2033,1977,0.05800884211146345
2034,1977,0.17431414253887056
2035,1977,0.009527693647653364
2037,1977,0.07834773585908071
2038,1977,-0.0014492770755678266
2041,1977,0.018618505959319756
2043,1977,0.017813520806907523
2044,1977,0.16316665343826353
2045,1977,0.04732396214417777
2046,1977,0.08508805917907725
2047,1977,0.0002979882802865668
2048,1977,0.021328571163698507
2051,1977,-0.0006766046755426877
2052,1977,0.016915711179770032
2061,1977,0.26262122262458226
2062,1977,0.0007230655501129194
2063,1977,0.03683196270536162
2065,1977,0.041718676669349294
2066,1977,0.2442234293830923
2067,1977,-0.05063433067848798
2074,1977,0.11189402126458016
2075,1977,0.07903074821935313
2076,1977,-0.017198510287270367
2077,1977,0.005079179494702624
2079,1977,0.006470028918600707
2082,1977,0.005543770317819536
2083,1977,0.10282618711644835
2084,1977,0.4474146087703944
2085,1977,0.06394228735220149
2086,1977,0.004467411244922156
2087,1977,0.03654591093960619
2091,1977,0.09964359046189872
2092,1977,0.042197338513888634
2095,1977,0.04720713569941892
2097,1977,0.016533354158816356
2098,1977,-0.000519375621155952
2099,1977,0.004415709587523442
20,1982,0.0033483849864642578
2011,1982,0.03746089640313964
2013,1982,0.0042178492272572175
2016,1982,0.04630397574923189
2017,1982,0.03261400366032647
2021,1982,0.07141639743889946
2022,1982,0.13896966942919398
2023,1982,0.034917458467904026
2024,1982,-0.0013122206013963021
2026,1982,0.005699815331564509
2032,1982,-0.01534089984835906
2034,1982,0.2695267624519425
2035,1982,0.010678396386079326
2037,1982,0.06939252548606482
2038,1982,-0.0009899629966872898
2041,1982,0.01717580053353423
2043,1982,-0.021870679133468372
2044,1982,0.1580976667348621
2045,1982,-0.007511626968972208
2046,1982,0.09303960620147902
2047,1982,0.00369362881646907
2048,1982,0.021389339621330414
2051,1982,-0.0009396958576145601
2052,1982,0.014138818931059135
2061,1982,0.2456536096535181
2062,1982,0.03492664593952865
2063,1982,0.0461115203502726
2065,1982,0.02995303156753557
2066,1982,0.6348312999227719
2067,1982,-0.03385054542844583
2074,1982,0.11343246818291798
2075,1982,0.08611113854163245
2076,1982,-0.038224700120793424
2077,1982,0.006676396652592915
2079,1982,0.01513207793113964
2082,1982,-0.011232795200346252
2083,1982,0.17469405168574967
2084,1982,0.4910532202523438
2085,1982,0.0893058125604031
2086,1982,0.00398628425268059
2087,1982,0.012633574511295334
2091,1982,0.13105874204529785
2092,1982,0.0458265339813437
2095,1982,0.03761220866936588
2097,1982,0.017824523070104945
2098,1982,0.0005205497631423943
2099,1982,0.005250614395853337
20,1987,0.003539436271952466
2011,1987,0.03937361219207576
2013,1987,0.00684243104819747
2015,1987,0.057255493362328706
2021,1987,0.0480624204274012
2022,1987,0.13564949151774264
2023,1987,0.04503190612624357
2024,1987,-0.003271665057938966
2026,1987,0.006929092852942025
2032,1987,-0.011673234573642043
2033,1987,0.03965712669276179
2034,1987,0.26932980324600164
2035,1987,0.003437148434948975
2037,1987,0.06808373412224314
2038,1987,0.005170104118109886
2041,1987,0.11106631758744004
2043,1987,0.00602108673058355
2044,1987,0.15929405469387373
2045,1987,0.005471998563328729
2046,1987,0.13173788470734585
2047,1987,0.006272355420235946
2048,1987,0.01979721513500214
2051,1987,0.0025892833854433066
2052,1987,0.011334773515188846
2053,1987,0.0010120032080742998
2061,1987,0.4112828960659542
2062,1987,-0.047588954272422976
2064,1987,0.05401561912115299
2066,1987,0.0916302621227146
2067,1987,-0.023388599898305384
2068,1987,0.06100899426533523
2074,1987,0.009160049683131062
2075,1987,0.05051593932738694
2076,1987,0.04329605023548095
2077,1987,0.011736435505857803
2079,1987,0.01653583715729751
2082,1987,-0.0034257577853785874
2083,1987,0.22655949795284125
2084,1987,0.5242539573555313
2085,1987,0.07515016685929324
2086,1987,0.006406179877808071
2087,1987,-0.0025337530536084416
2091,1987,0.05262072805041477
2092,1987,0.03384755695359094
2095,1987,0.01768083256095929
2096,1987,0.010590095510541185
2097,1987,0.013008748045814105
2098,1987,-0.01776686624961207
2099,1987,0.009749261535820175
20,1992,0.004571015204727666
2011,1992,0.0495442765567135
2013,1992,0.009275878406000164
2015,1992,0.05633686049230025
2021,1992,0.15379162346423428
2022,1992,0.11788966065088931
2023,1992,0.017594591226589226
2024,1992,-0.0074031563174194945
2026,1992,-0.0012304430439855991
2032,1992,-0.012458822502334089
2033,1992,0.04038674396798517
2034,1992,0.23028200400109358
2035,1992,0.002587431015972205
2037,1992,0.05769612475171677
2038,1992,0.003204352532772622
2041,1992,0.0132020143442962
2043,1992,0.013312826115867432
2044,1992,0.1553078233001946
2045,1992,0.0024055032932596824
2046,1992,0.14610602494497005
2047,1992,0.004632746679715208
2048,1992,0.017269815883565822
2051,1992,-0.00012109420331743918
2052,1992,0.012036195516965465
2053,1992,0.017403814567240546
2061,1992,0.1555445306104298
2062,1992,-0.05989060506568273
2063,1992,0.016926735093513563
2064,1992,0.04719373264775693
2066,1992,0.17125149576413154
2068,1992,0.05271293869095442
2074,1992,0.12216790099679804
2075,1992,0.08945489691712069
2076,1992,-0.026274742861786823
2077,1992,0.008542634805850522
2079,1992,0.00507624001045309
2082,1992,0.012201389505551762
2083,1992,0.13551251039717505
2084,1992,0.5719750850954082
2085,1992,0.13078348362805683
2086,1992,-0.0000436021151431327
2087,1992,0.016935574331943513
2091,1992,0.07195421457041969
2092,1992,0.08248840688678488
2095,1992,-0.0005507662500400375
2096,1992,0.005814578720288455
2097,1992,0.0021490650865062023
2098,1992,-0.003546206773229504
2099,1992,0.01102152699977741
311,1997,0.005093325592583081
311111,1997,-0.0064463577056763
311119,1997,0.01267541503736842
311211,1997,0.009608778462885626
311212,1997,0.14766548735964413
311213,1997,0.12605706348778997
311221,1997,0.12099693962804235
311222,1997,0.07720150565305853
311223,1997,-0.0049948038155556455
311225,1997,0.00861339571843982
311230,1997,0.0067557318509899955
311311,1997,0.08940930938354028
311312,1997,-0.06868942494742385
311313,1997,0.01855775098615148
311320,1997,0.16087636015286672
311330,1997,0.030104421968729
311340,1997,0.027093312917089978
311411,1997,0.04602652441174763
311412,1997,0.008364817245329875
311421,1997,0.03195263264614528
311422,1997,-0.0063429415223814544
311423,1997,0.18629767512533532
311511,1997,0.01653204645597399
311512,1997,0.18956262171093125
311513,1997,0.11825148018848625
311514,1997,0.009028758827825048
311520,1997,-0.004605219640913419
311611,1997,0.04601043776664391
311612,1997,0.016166456836680974
311613,1997,0.004760796658226861
311615,1997,0.05938172385419497
311711,1997,0.0819387658448977
311712,1997,0.07462730479061627
311811,1997,0.011063815488120486
311812,1997,0.0007875027476446824
311813,1997,0.012598743339918384
311821,1997,0.017650707228477672
311822,1997,0.007782744915071092
311823,1997,-0.00001558915679752087
311830,1997,0.07734760834294858
311911,1997,0.07649432998872355
311919,1997,0.009459379316659966
311920,1997,0.42304650369061386
311930,1997,0.009270755540346952
311941,1997,-0.0025579655803924864
311942,1997,0.004255061510780826
311991,1997,0.020428045912334804
311999,1997,0.009079981276044409
311,2002,0.005686987158013454
311111,2002,0.012247664796747841
311119,2002,0.00961273005174193
311211,2002,0.008600018251525293
311212,2002,0.18286235515030969
311213,2002,0.1197047503685229
311221,2002,0.15037073950457183
311222,2002,0.0901111770542741
311223,2002,-0.009954784249770532
311225,2002,0.015079022131579151
311230,2002,0.020729909264996613
311311,2002,0.10159384165052211
311312,2002,-0.11669599835347749
311313,2002,0.03773947741847483
311320,2002,0.04378753456366327
311330,2002,0.023362042922806334
311340,2002,0.033247151873387795
311411,2002,0.06919421163317656
311412,2002,0.010709215180360252
311421,2002,0.032224188943942966
311422,2002,-0.02897162847041169
311423,2002,0.13469143212207593
311511,2002,0.0006651733377196705
311512,2002,0.10621994004259062
311513,2002,0.1189382015381369
311514,2002,0.011679458179086447
311520,2002,-0.006272770729983758
311611,2002,0.04622486363939932
311612,2002,0.013489228175633288
311613,2002,0.0022343563233871225
311615,2002,0.05818299719814095
311711,2002,0.06652205232028607
311712,2002,0.07651226517181696
311811,2002,0.008662662642998045
311812,2002,0.0008948484508298139
311813,2002,0.004024234789675142
311821,2002,0.026509294164598247
311822,2002,0.009414153261110758
311823,2002,0.011179788206703727
311830,2002,0.07903528835849499
311911,2002,0.07643585077530088
311919,2002,0.01462580532141541
311920,2002,-0.008960595710534924
311930,2002,-0.006111445274117721
311941,2002,-0.006238927014825241
311942,2002,0.004234242214849482
311991,2002,0.035194859666290025
311999,2002,0.010984904171707777
311,2007,0.005927114769916901
311111,2007,0.0025996495245163807
